datetime, ticker, mentions
02/04/2021 17:37:14,GME,490
02/04/2021 17:37:14,R,17
02/04/2021 17:37:14,MAN,3
02/04/2021 17:37:14,GO,5
02/04/2021 17:37:14,EDIT,12
02/04/2021 17:37:14,IT,18
02/04/2021 17:37:14,M,10
02/04/2021 17:37:14,CASH,2
02/04/2021 17:37:14,HE,10
02/04/2021 17:37:14,BBQ,1
02/04/2021 17:37:14,HES,6
02/04/2021 17:37:14,B,15
02/04/2021 17:37:14,U,17
02/04/2021 17:37:14,L,13
02/04/2021 17:37:14,H,1
02/04/2021 17:37:14,LOVE,5
02/04/2021 17:37:14,CEO,65
02/04/2021 17:37:14,ALL,16
02/04/2021 17:37:14,HA,3
02/04/2021 17:37:14,NYC,6
02/04/2021 17:37:14,RE,4
02/04/2021 17:37:14,USA,6
02/04/2021 17:37:14,CAN,2
02/04/2021 17:37:14,T,51
02/04/2021 17:37:14,FOR,6
02/04/2021 17:37:14,ARE,5
02/04/2021 17:37:14,ADS,1
02/04/2021 17:37:14,G,8
02/04/2021 17:37:14,CLNE,2
02/04/2021 17:37:14,Y,17
02/04/2021 17:37:14,TDI,1
02/04/2021 17:37:14,MA,1
02/04/2021 17:37:14,ICLN,23
02/04/2021 17:37:14,ICE,35
02/04/2021 17:37:14,NG,1
02/04/2021 17:37:14,TCP,2
02/04/2021 17:37:14,C,11
02/04/2021 17:37:14,ONE,8
02/04/2021 17:37:14,THO,1
02/04/2021 17:37:14,WOW,1
02/04/2021 17:37:14,PS,5
02/04/2021 17:37:14,AMC,299
02/04/2021 17:37:14,SO,6
02/04/2021 17:37:14,UK,8
02/04/2021 17:37:14,F,18
02/04/2021 17:37:14,UI,10
02/04/2021 17:37:14,COST,1
02/04/2021 17:37:14,AN,3
02/04/2021 17:37:14,FORM,1
02/04/2021 17:37:14,HUGE,7
02/04/2021 17:37:14,TD,9
02/04/2021 17:37:14,QQQ,10
02/04/2021 17:37:14,TSLA,128
02/04/2021 17:37:14,AAPL,23
02/04/2021 17:37:14,AT,12
02/04/2021 17:37:14,IRS,10
02/04/2021 17:37:14,J,2
02/04/2021 17:37:14,EFT,1
02/04/2021 17:37:14,BAH,1
02/04/2021 17:37:14,VERY,6
02/04/2021 17:37:14,CC,9
02/04/2021 17:37:14,HSBC,1
02/04/2021 17:37:14,EAR,1
02/04/2021 17:37:14,BRO,2
02/04/2021 17:37:14,NICE,1
02/04/2021 17:37:14,PLTR,88
02/04/2021 17:37:14,CNC,5
02/04/2021 17:37:14,EXP,2
02/04/2021 17:37:14,SE,2
02/04/2021 17:37:14,PSA,2
02/04/2021 17:37:14,DIS,5
02/04/2021 17:37:14,NOW,8
02/04/2021 17:37:14,SI,7
02/04/2021 17:37:14,K,13
02/04/2021 17:37:14,AMP,5
02/04/2021 17:37:14,X,33
02/04/2021 17:37:14,IR,4
02/04/2021 17:37:14,CODX,1
02/04/2021 17:37:14,BB,53
02/04/2021 17:37:14,RKT,19
02/04/2021 17:37:14,CFO,5
02/04/2021 17:37:14,MSFT,14
02/04/2021 17:37:14,PSTH,1
02/04/2021 17:37:14,BE,6
02/04/2021 17:37:14,EOD,5
02/04/2021 17:37:14,AGO,1
02/04/2021 17:37:14,ASO,66
02/04/2021 17:37:14,ATH,18
02/04/2021 17:37:14,APHA,18
02/04/2021 17:37:14,TLRY,10
02/04/2021 17:37:14,NOK,3
02/04/2021 17:37:14,SPCE,1
02/04/2021 17:37:14,OI,6
02/04/2021 17:37:14,D,22
02/04/2021 17:37:14,LL,1
02/04/2021 17:37:14,DNN,2
02/04/2021 17:37:14,DDD,2
02/04/2021 17:37:14,GOOD,2
02/04/2021 17:37:14,ON,8
02/04/2021 17:37:14,JMIA,1
02/04/2021 17:37:14,LPL,1
02/04/2021 17:37:14,TURN,2
02/04/2021 17:37:14,LRCX,6
02/04/2021 17:37:14,VIACA,3
02/04/2021 17:37:14,NNDM,1
02/04/2021 17:37:14,XOM,3
02/04/2021 17:37:14,NEXT,1
02/04/2021 17:37:14,OR,9
02/04/2021 17:37:14,NIO,8
02/04/2021 17:37:14,LE,1
02/04/2021 17:37:14,RICK,1
02/04/2021 17:37:14,PLAY,2
02/04/2021 17:37:14,IP,5
02/04/2021 17:37:14,BY,3
02/04/2021 17:37:14,SD,1
02/04/2021 17:37:14,BIG,1
02/04/2021 17:37:14,FUV,2
02/04/2021 17:37:14,GM,22
02/04/2021 17:37:14,CCS,2
02/04/2021 17:37:14,FSD,10
02/04/2021 17:37:14,BEAT,1
02/04/2021 17:37:14,RC,1
02/04/2021 17:37:14,RPM,1
02/04/2021 17:37:14,STEP,3
02/04/2021 17:37:14,ARR,2
02/04/2021 17:37:14,AI,18
02/04/2021 17:37:14,GE,1
02/04/2021 17:37:14,GHG,1
02/04/2021 17:37:14,PEG,2
02/04/2021 17:37:14,AMZN,11
02/04/2021 17:37:14,PM,33
02/04/2021 17:37:14,DCF,6
02/04/2021 17:37:14,FT,2
02/04/2021 17:37:14,PLUG,19
02/04/2021 17:37:14,NEE,10
02/04/2021 17:37:14,RIDE,5
02/04/2021 17:37:14,GEVO,8
02/04/2021 17:37:14,FMC,1
02/04/2021 17:37:14,CIG,1
02/04/2021 17:37:14,VST,3
02/04/2021 17:37:14,RUN,1
02/04/2021 17:37:14,FCEL,2
02/04/2021 17:37:14,ENPH,3
02/04/2021 17:37:14,VER,1
02/04/2021 17:37:14,AG,2
02/04/2021 17:37:14,DQ,1
02/04/2021 17:37:14,CEN,1
02/04/2021 17:37:14,ORA,1
02/04/2021 17:37:14,SEDG,1
02/04/2021 17:37:14,REAL,1
02/04/2021 17:37:14,SEE,1
02/04/2021 17:37:14,JNJ,1
02/04/2021 17:37:14,DTE,3
02/04/2021 17:37:14,LAND,2
02/04/2021 17:37:14,O,5
02/04/2021 17:37:14,W,1
02/04/2021 17:37:14,OUT,1
02/04/2021 17:37:14,NEW,1
02/04/2021 17:37:14,TSM,15
02/04/2021 17:37:14,AM,3
02/04/2021 17:37:14,WORK,1
02/04/2021 17:37:14,HOME,1
02/04/2021 17:37:14,WWW,1
02/04/2021 17:37:14,HOV,1
02/04/2021 17:37:14,SHW,3
02/04/2021 17:37:14,UL,1
02/04/2021 17:37:14,UBER,1
02/04/2021 17:37:14,DISCA,6
02/04/2021 17:37:14,TGT,2
02/04/2021 17:37:14,DASH,1
02/04/2021 17:37:14,DKS,1
02/04/2021 17:37:14,VIAC,6
02/04/2021 17:37:14,UA,1
02/04/2021 17:37:14,NP,2
02/04/2021 17:37:14,SF,4
02/04/2021 17:37:14,SMH,1
02/04/2021 17:37:14,ASML,8
02/04/2021 17:37:14,MSM,2
02/04/2021 17:37:14,CRSR,1
02/04/2021 17:37:14,VUZI,2
02/04/2021 17:37:14,AMD,32
02/04/2021 17:37:14,NVDA,2
02/04/2021 17:37:14,SDGR,1
02/04/2021 17:37:14,REI,1
02/04/2021 17:37:14,AR,4
02/04/2021 17:37:14,IMO,21
02/04/2021 17:37:14,KKR,3
02/04/2021 17:37:14,EVER,1
02/04/2021 17:37:14,ADP,1
02/04/2021 17:37:14,BND,2
02/04/2021 17:37:14,WMT,2
02/04/2021 17:37:14,DPZ,1
02/04/2021 17:37:14,BK,1
02/04/2021 17:37:14,RIOT,5
02/04/2021 17:37:14,LEAP,2
02/04/2021 17:37:14,DRE,1
02/04/2021 17:37:14,QQQJ,10
02/04/2021 17:37:14,FB,6
02/04/2021 17:37:14,HEES,1
02/04/2021 17:37:14,BP,1
02/04/2021 17:37:14,GS,2
02/04/2021 17:37:14,SOL,3
02/04/2021 17:37:14,PT,5
02/04/2021 17:37:14,CLF,7
02/04/2021 17:37:14,PEAK,2
02/04/2021 17:37:14,MT,1
02/04/2021 17:37:14,HAS,1
02/04/2021 17:37:14,RBC,2
02/04/2021 17:37:14,MVIS,3
02/04/2021 17:37:14,SNDL,1
02/04/2021 17:37:14,AE,1
02/04/2021 17:37:14,LMND,2
02/04/2021 17:37:14,INTC,2
02/04/2021 17:37:14,MU,7
02/04/2021 17:37:14,MS,1
02/04/2021 17:37:14,CB,1
02/04/2021 17:37:14,ARGO,1
02/04/2021 17:37:14,EXPI,1
02/04/2021 17:37:14,TLT,3
02/04/2021 17:37:14,IBKR,2
02/04/2021 17:37:14,GLPI,2
02/04/2021 17:37:14,SU,2
02/04/2021 17:37:14,LUV,5
02/04/2021 17:37:14,UAL,4
02/04/2021 17:37:14,AAL,1
02/04/2021 17:37:14,IAG,1
02/04/2021 17:37:14,BA,2
02/04/2021 17:37:14,BSD,1
02/04/2021 17:37:14,ITT,1
02/04/2021 17:37:14,WASH,2
02/04/2021 17:37:14,SAVE,2
02/04/2021 17:37:14,WELL,2
02/04/2021 17:37:14,BJ,7
02/04/2021 17:37:14,DM,1
02/04/2021 17:37:14,MC,1
02/04/2021 17:37:14,OC,1
02/04/2021 17:37:14,V,2
02/04/2021 17:37:14,TV,4
02/04/2021 17:37:14,MN,2
02/04/2021 17:37:14,MARK,1
02/04/2021 17:37:14,PAC,1
02/04/2021 17:37:14,NGL,1
02/04/2021 17:37:14,UXIN,1
02/04/2021 17:37:14,CXW,2
02/04/2021 17:37:14,SOS,7
02/04/2021 17:37:14,ASAN,2
02/04/2021 17:37:14,NAKD,3
02/04/2021 17:37:14,UAVS,11
02/04/2021 17:37:14,HR,10
02/04/2021 17:37:14,ANY,1
02/04/2021 17:37:14,VC,2
02/04/2021 17:37:14,BYND,1
02/04/2021 17:37:14,AC,1
02/04/2021 17:37:14,SABR,1
02/04/2021 17:37:14,NHS,1
02/04/2021 17:37:14,IBM,4
02/04/2021 17:37:14,SAP,1
02/04/2021 17:37:14,DISCB,7
02/04/2021 17:37:14,DISCK,2
02/04/2021 17:37:14,KELYB,1
02/04/2021 17:37:14,FUND,1
02/04/2021 17:37:14,LTRPB,1
02/04/2021 17:37:14,WFC,1
02/04/2021 17:37:14,WDC,1
02/04/2021 17:37:14,NAT,1
02/04/2021 17:37:14,HEXO,1
02/04/2021 17:37:14,BABA,2
02/04/2021 17:37:14,ABNB,1
02/04/2021 17:37:14,ONEQ,2
02/04/2021 17:37:14,FREE,1
02/04/2021 17:37:14,MUH,1
02/04/2021 17:37:14,HD,1
02/04/2021 17:37:14,QQQM,1
02/04/2021 17:37:14,KT,1
